Reaction,Lower Bound,Upper Bound
ACCOAC_OSAr_M,0.0,14.50395172667387
FAC_Osc_M,0.0,8.316751755931499
FAC_Osr_M,0.0,14.503951726673844
EX_co2(e),-29.0,-26.100000000000076
EX_h2o(e),-24.824561060689334,0.0
EX_h(e),-74.85072736764863,0.0
EX_no3(e),-0.645802023087013,0.0
EX_o2(e),-239.45590152918558,0.0
EX_pi(e),-13.731594240902565,0.0
EX_so4(e),-0.15263157894736992,0.0
EX_so3(e),-0.15263157894737017,0.0
EX_h2s(e),-0.15263157894736282,0.0
EX_nh4(e),-5.588264743429164,-0.7535738314530077
EX_mg2(e),-0.0852941176470583,0.0
EX_photonVis(e),-1525.0,-1475.0
PRISM_white_LED_M,1340.909090909091,1386.3636363636365
RPSI_430(u)_M,3.566530995989309,3.775615795454546
RPSI_450(u)_M,0.0,188.44581104545455
RPSI_470(u)_M,0.0,263.37018261363636
RPSI_490(u)_M,0.0,69.85874025
RPSI_510(u)_M,0.0,204.60497861363638
RPSI_530(u)_M,0.0,183.06548488636366
RPSI_550(u)_M,0.0,43.53405022727273
RPSI_570(u)_M,6.072370383330214,6.36639889084091
RPSI_590(u)_M,0.0,0.6993790641711235
RPSI_610(u)_M,0.0,1.2169702823613637
RPSI_630(u)_M,0.0,19.549460227272725
RPSI_650(u)_M,0.0,194.23946350000003
RPSI_670(u)_M,0.0,202.95268131818182
RPSI_690(u)_M,0.0,4.517290851568182
RPSII_450(u)_M,0.0,188.44581104545455
RPSII_470(u)_M,0.0,263.37018261363636
RPSII_490(u)_M,0.0,69.85874025
RPSII_510(u)_M,0.0,204.60497861363638
RPSII_530(u)_M,0.0,183.06548488636366
RPSII_550(u)_M,0.0,43.53405022727273
RPSII_570(u)_M,0.0,6.36639889084091
RPSII_590(u)_M,0.0,0.8112722727272728
RPSII_610(u)_M,1.0917754997188485,1.2169702823613637
RPSII_630(u)_M,0.0,19.549460227272725
RPSII_650(u)_M,0.0,194.2394635
CO2tex_M,26.10000000000002,29.0
Htex_M,-37.88250025341613,74.3104629282125
O2tex_M,0.0,239.45590152918712
Pitex_M,-11.995357226260467,52.0310047348521
H2Stex_M,0.0,1.291604046174019
MG2tex_M,0.0,0.08529411764705865
